"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2017","40.7","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2018","37.8","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2019","38.6","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2020","34.9","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2021","37.4","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2022","34.2","M","A","2023-10-08","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2017","35.7","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2018","42.1","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2019","38.9","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2020","34.1","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2021","33.7","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2022","31.5","M","A","2023-10-08","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2017","1.6","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2018","2.8","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2019","1.2","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2020","0.7","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2021","1","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2022","1.5","M","A","2023-10-08","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2017","53.2","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2018","52.4","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2019","57.3","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2020","65.3","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2021","64.4","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2022","67.6","M","A","2023-10-08","-","-"
"Argentina","Beach litter originating from national land-based sources ends in the Ocean","2017","78.4","M","A","2022-02-02","-","-"
"Argentina","Beach litter originating from national land-based sources ends in the Ocean","2018","77.7","M","A","2022-02-02","-","-"
"Argentina","Beach litter originating from national land-based sources ends in the Ocean","2019","76.7","M","A","2022-02-02","-","-"
"Argentina","Beach litter originating from national land-based sources ends in the Ocean","2020","72.8","M","A","2022-02-02","-","-"
"Argentina","Beach litter originating from national land-based sources ends in the Ocean","2021","71.4","M","A","2022-02-02","-","-"
"Argentina","Beach litter originating from national land-based sources ends in the Ocean","2022","71.5","M","A","2023-10-08","-","-"
"Australia","Beach litter originating from national land-based sources ends in the Ocean","2017","34.5","M","A","2022-02-02","-","-"
"Australia","Beach litter originating from national land-based sources ends in the Ocean","2018","38","M","A","2022-02-02","-","-"
