"Country Name","Indicator Name","Year","Observation Value","Nature","Obs_Status","Date Updated","Country Files","Footnote"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2017","11315","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2018","10981","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2019","11621","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2020","10807","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2021","11841","M","A","2022-02-02","-","-"
"Albania","Beach litter originating from national land-based sources ends in the Ocean","2022","11021","M","A","2023-10-08","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2017","85098","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2018","105106","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2019","100559","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2020","90590","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2021","91575","M","A","2022-02-02","-","-"
"Algeria","Beach litter originating from national land-based sources ends in the Ocean","2022","87057","M","A","2023-10-08","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2017","772","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2018","1451","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2019","660","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2020","374","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2021","558","M","A","2022-02-02","-","-"
"Angola","Beach litter originating from national land-based sources ends in the Ocean","2022","883","M","A","2023-10-08","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2017","198","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2018","204","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2019","231","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2020","271","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2021","273","M","A","2022-02-02","-","-"
"Antigua and Barbuda","Beach litter originating from national land-based sources ends in the Ocean","2022","292","M","A","2023-10-08","-","-"
"Argentina","Beach litter originating from national land-based sources ends in the Ocean","2017","15049","M","A","2022-02-02","-","-"
"Argentina","Beach litter originating from national land-based sources ends in the Ocean","2018","15594","M","A","2022-02-02","-","-"
