Country Name,Indicator Name,Year,Observation Value,Nature,Obs_Status,Date Updated,Country Files,Footnote,Continent,Year_Total,Percentage_of_Total
Albania,Beach litter originating from national land-based sources ends in the Ocean,2017,11315,M,A,2022-02-02,-,-,Europe,4753968,0.24
Albania,Beach litter originating from national land-based sources ends in the Ocean,2018,10981,M,A,2022-02-02,-,-,Europe,4709069,0.23
Albania,Beach litter originating from national land-based sources ends in the Ocean,2019,11621,M,A,2022-02-02,-,-,Europe,4667449,0.25
Albania,Beach litter originating from national land-based sources ends in the Ocean,2020,10807,M,A,2022-02-02,-,-,Europe,4896483,0.22
Albania,Beach litter originating from national land-based sources ends in the Ocean,2021,11841,M,A,2022-02-02,-,-,Europe,5283239,0.22
Albania,Beach litter originating from national land-based sources ends in the Ocean,2022,11021,M,A,2023-10-08,-,-,Europe,5265779,0.21
Algeria,Beach litter originating from national land-based sources ends in the Ocean,2017,85098,M,A,2022-02-02,-,-,Africa,4753968,1.79
Algeria,Beach litter originating from national land-based sources ends in the Ocean,2018,105106,M,A,2022-02-02,-,-,Africa,4709069,2.23
Algeria,Beach litter originating from national land-based sources ends in the Ocean,2019,100559,M,A,2022-02-02,-,-,Africa,4667449,2.15
Algeria,Beach litter originating from national land-based sources ends in the Ocean,2020,90590,M,A,2022-02-02,-,-,Africa,4896483,1.85
Algeria,Beach litter originating from national land-based sources ends in the Ocean,2021,91575,M,A,2022-02-02,-,-,Africa,5283239,1.73
Algeria,Beach litter originating from national land-based sources ends in the Ocean,2022,87057,M,A,2023-10-08,-,-,Africa,5265779,1.65
Angola,Beach litter originating from national land-based sources ends in the Ocean,2017,772,M,A,2022-02-02,-,-,Africa,4753968,0.02
Angola,Beach litter originating from national land-based sources ends in the Ocean,2018,1451,M,A,2022-02-02,-,-,Africa,4709069,0.03
Angola,Beach litter originating from national land-based sources ends in the Ocean,2019,660,M,A,2022-02-02,-,-,Africa,4667449,0.01
Angola,Beach litter originating from national land-based sources ends in the Ocean,2020,374,M,A,2022-02-02,-,-,Africa,4896483,0.01
Angola,Beach litter originating from national land-based sources ends in the Ocean,2021,558,M,A,2022-02-02,-,-,Africa,5283239,0.01
Angola,Beach litter originating from national land-based sources ends in the Ocean,2022,883,M,A,2023-10-08,-,-,Africa,5265779,0.02
Antigua and Barbuda,Beach litter originating from national land-based sources ends in the Ocean,2017,198,M,A,2022-02-02,-,-,North America,4753968,0.0
Antigua and Barbuda,Beach litter originating from national land-based sources ends in the Ocean,2018,204,M,A,2022-02-02,-,-,North America,4709069,0.0
Antigua and Barbuda,Beach litter originating from national land-based sources ends in the Ocean,2019,231,M,A,2022-02-02,-,-,North America,4667449,0.0
Antigua and Barbuda,Beach litter originating from national land-based sources ends in the Ocean,2020,271,M,A,2022-02-02,-,-,North America,4896483,0.01
Antigua and Barbuda,Beach litter originating from national land-based sources ends in the Ocean,2021,273,M,A,2022-02-02,-,-,North America,5283239,0.01
Antigua and Barbuda,Beach litter originating from national land-based sources ends in the Ocean,2022,292,M,A,2023-10-08,-,-,North America,5265779,0.01
Argentina,Beach litter originating from national land-based sources ends in the Ocean,2017,15049,M,A,2022-02-02,-,-,South America,4753968,0.32
Argentina,Beach litter originating from national land-based sources ends in the Ocean,2018,15594,M,A,2022-02-02,-,-,South America,4709069,0.33
Argentina,Beach litter originating from national land-based sources ends in the Ocean,2019,15942,M,A,2022-02-02,-,-,South America,4667449,0.34
Argentina,Beach litter originating from national land-based sources ends in the Ocean,2020,15567,M,A,2022-02-02,-,-,South America,4896483,0.32
Argentina,Beach litter originating from national land-based sources ends in the Ocean,2021,15596,M,A,2022-02-02,-,-,South America,5283239,0.3
Argentina,Beach litter originating from national land-based sources ends in the Ocean,2022,15902,M,A,2023-10-08,-,-,South America,5265779,0.3
Australia,Beach litter originating from national land-based sources ends in the Ocean,2017,1329,M,A,2022-02-02,-,-,Oceania,4753968,0.03
Australia,Beach litter originating from national land-based sources ends in the Ocean,2018,1529,M,A,2022-02-02,-,-,Oceania,4709069,0.03
Australia,Beach litter originating from national land-based sources ends in the Ocean,2019,1252,M,A,2022-02-02,-,-,Oceania,4667449,0.03
Australia,Beach litter originating from national land-based sources ends in the Ocean,2020,1433,M,A,2022-02-02,-,-,Oceania,4896483,0.03
Australia,Beach litter originating from national land-based sources ends in the Ocean,2021,1633,M,A,2022-02-02,-,-,Oceania,5283239,0.03
Australia,Beach litter originating from national land-based sources ends in the Ocean,2022,1800,M,A,2023-10-08,-,-,Oceania,5265779,0.03
Bahamas,Beach litter originating from national land-based sources ends in the Ocean,2017,953,M,A,2022-02-02,-,-,North America,4753968,0.02
Bahamas,Beach litter originating from national land-based sources ends in the Ocean,2018,1030,M,A,2022-02-02,-,-,North America,4709069,0.02
Bahamas,Beach litter originating from national land-based sources ends in the Ocean,2019,1089,M,A,2022-02-02,-,-,North America,4667449,0.02
Bahamas,Beach litter originating from national land-based sources ends in the Ocean,2020,1143,M,A,2022-02-02,-,-,North America,4896483,0.02
Bahamas,Beach litter originating from national land-based sources ends in the Ocean,2021,1183,M,A,2022-02-02,-,-,North America,5283239,0.02
Bahamas,Beach litter originating from national land-based sources ends in the Ocean,2022,1211,M,A,2023-10-08,-,-,North America,5265779,0.02
Bahrain,Beach litter originating from national land-based sources ends in the Ocean,2017,3,M,A,2022-02-02,-,-,Asia,4753968,0.0
Bahrain,Beach litter originating from national land-based sources ends in the Ocean,2018,4,M,A,2022-02-02,-,-,Asia,4709069,0.0
Bahrain,Beach litter originating from national land-based sources ends in the Ocean,2019,4,M,A,2022-02-02,-,-,Asia,4667449,0.0
Bahrain,Beach litter originating from national land-based sources ends in the Ocean,2020,0,M,A,2022-02-02,-,-,Asia,4896483,0.0
Bahrain,Beach litter originating from national land-based sources ends in the Ocean,2021,6,M,A,2022-02-02,-,-,Asia,5283239,0.0
Bahrain,Beach litter originating from national land-based sources ends in the Ocean,2022,4,M,A,2023-10-08,-,-,Asia,5265779,0.0
Bangladesh,Beach litter originating from national land-based sources ends in the Ocean,2017,127662,M,A,2022-02-02,-,-,Asia,4753968,2.69
Bangladesh,Beach litter originating from national land-based sources ends in the Ocean,2018,138611,M,A,2022-02-02,-,-,Asia,4709069,2.94
