Country Name,Indicator Name,Year,Observation Value,Nature,Obs_Status,Date Updated,Country Files,Footnote,Continent
Albania,Beach litter count per km2 of coastline,2018,1284796.6,E,A,2022-05-19,-,-,Europe
Algeria,Beach litter count per km2 of coastline,2015,34285714.3,E,A,2022-05-19,-,-,Africa
Algeria,Beach litter count per km2 of coastline,2016,39450549.5,E,A,2022-05-19,-,-,Africa
Algeria,Beach litter count per km2 of coastline,2018,2485.5,E,A,2022-05-19,-,-,Africa
Angola,Beach litter count per km2 of coastline,2022,74564.7,E,A,2024-04-30,-,-,Africa
Antigua and Barbuda,Beach litter count per km2 of coastline,2021,52319.9,E,A,2024-04-30,-,-,North America
Antigua and Barbuda,Beach litter count per km2 of coastline,2022,62224.1,E,A,2024-04-30,-,-,North America
Argentina,Beach litter count per km2 of coastline,2015,5832512.3,E,A,2022-05-19,-,-,South America
Argentina,Beach litter count per km2 of coastline,2016,490426.7,E,A,2022-05-19,-,-,South America
Argentina,Beach litter count per km2 of coastline,2017,3788198.8,E,A,2022-05-19,-,-,South America
Argentina,Beach litter count per km2 of coastline,2018,6801203.2,E,A,2022-05-19,-,-,South America
Argentina,Beach litter count per km2 of coastline,2021,158951.9,E,A,2024-04-30,-,-,South America
Argentina,Beach litter count per km2 of coastline,2022,5707.6,E,A,2024-04-30,-,-,South America
Australia,Beach litter count per km2 of coastline,2015,1514.1,E,A,2022-05-19,-,-,Oceania
Australia,Beach litter count per km2 of coastline,2016,7202.1,E,A,2022-05-19,-,-,Oceania
Australia,Beach litter count per km2 of coastline,2017,210440.4,E,A,2022-05-19,-,-,Oceania
Australia,Beach litter count per km2 of coastline,2018,140982.1,E,A,2022-05-19,-,-,Oceania
Australia,Beach litter count per km2 of coastline,2021,129931.5,E,A,2024-04-30,-,-,Oceania
Australia,Beach litter count per km2 of coastline,2022,150187.5,E,A,2024-04-30,-,-,Oceania
Austria,Beach litter count per km2 of coastline,2017,148482.9,E,A,2022-05-19,-,-,Europe
Azerbaijan,Beach litter count per km2 of coastline,2016,59891.1,E,A,2022-05-19,-,-,Asia
Azerbaijan,Beach litter count per km2 of coastline,2018,249168.9,E,A,2022-05-19,-,-,Asia
Azerbaijan,Beach litter count per km2 of coastline,2021,76398.3,E,A,2024-04-30,-,-,Asia
Bahamas,Beach litter count per km2 of coastline,2016,101986.5,E,A,2022-05-19,-,-,North America
Bahamas,Beach litter count per km2 of coastline,2017,418691.1,E,A,2022-05-19,-,-,North America
Bahamas,Beach litter count per km2 of coastline,2018,498357.4,E,A,2022-05-19,-,-,North America
Bahamas,Beach litter count per km2 of coastline,2021,48104.5,E,A,2024-04-30,-,-,North America
